Binomial;BC_Mean;BC_CV;Tb;log10Mass;active;meanTe_sun;meanTe_shade;Te5;Te95;Breeding_Cycle;foraging.mode;Sex;Lab_ID;Latency
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Licht;NA
Acrochordus_granulatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Licht;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Murdock, Univ Wyoming;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Schuett;NA
Agkistrodon_contortrix;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Schuett;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Grober;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Grober;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Grober;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Grober;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Grober;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Grober;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Grober;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Grober;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Johnson;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Johnson;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Johnson;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Johnson;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Johnson;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Johnson;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Johnson;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Johnson;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Kreider;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Kreider;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Kreider;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Kreider;NA
Agkistrodon_piscivorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Kreider;NA
Agkistrodon_piscivorus;16.1240461;259.4918442;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Mendonca;10
Agkistrodon_piscivorus;13.9923954;483.5369251;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Mendonca;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Guillette;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Guillette;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Guillette;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Guillette;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Guillette;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Guillette;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Guillette;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Guillette;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Guillette;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Guillette;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Guillette;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Guillette;10
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Lance;NA
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Lance;NA
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Lance;NA
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Lance;NA
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Lance;NA
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Lance;NA
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Lance;NA
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nonbreeding;NA;F;Lance;NA
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Lance;NA
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Lance;NA
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Lance;NA
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Lance;5
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Lance;5
Alligator_mississippiensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;Breeding;NA;F;Lance;5
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.05;21.4714409;20.64503765;10.71346449;48.9485397;Nonbreeding;NA;F;French;3
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.05;21.4714409;20.64503765;10.71346449;48.9485397;Nonbreeding;NA;F;French;3
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.059722222;31.5308335;29.06010934;19.4107805;64.43138891;Nonbreeding;NA;F;French;3
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.059722222;27.34802437;24.91993959;11.17090214;61.47763878;Nonbreeding;NA;F;French;3
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.077777778;27.9993196;26.32232229;15.42561506;52.27740384;NA;NA;F;French;3
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.043032787;35.95014042;33.63536072;21.79800144;68.12095708;NA;NA;F;French;3
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.075;24.59630282;22.84965104;11.27749333;55.07351204;NA;NA;F;French;3
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.043032787;35.95014042;33.63536072;21.79800144;68.12095708;NA;NA;F;French;3
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.059722222;27.34802437;24.91993959;11.17090214;61.47763878;Breeding;NA;F;Romero;2
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.077777778;27.9993196;26.32232229;15.42561506;52.27740384;Breeding;NA;F;Romero;2
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.062962963;29.37410058;25.99541419;10.41874936;66.87098272;Breeding;NA;F;Wikelski;3
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.054166667;35.98196596;33.24339015;21.81037312;71.78138704;Breeding;NA;F;Wikelski;3
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.069444444;38.49009172;33.5906932;20.56935663;77.59215491;Breeding;NA;F;Wikelski;3
Amblyrhynchus_cristatus;NA;NA;37.9;3.869614816;0.022222222;36.80617899;34.45684975;24.26045852;68.91412696;NA;NA;F;Wikelski;NA
Amblyrhynchus_cristatus;0.54;117.0188687;37.9;3.869614816;0.041666667;34.70432723;31.45093069;22.21870116;58.73386459;Breeding;NA;F;Wikelski;3
Amblyrhynchus_cristatus;1;209.9142682;37.9;3.869614816;0.038888889;35.51367378;32.28372259;23.03542274;68.94235852;Breeding;NA;F;Wikelski;3
Amblyrhynchus_cristatus;6.44;125.6915403;37.9;3.869614816;0.041666667;36.95105381;33.11931635;22.38949836;65.26037278;Breeding;NA;F;Wikelski;3
Amblyrhynchus_cristatus;18.87;26.88716578;37.9;3.869614816;0.083333333;32.10906099;29.6570391;21.42133905;54.89754838;Breeding;NA;F;Wikelski;3
Amblyrhynchus_cristatus;22.57;36.37893085;37.9;3.869614816;0.029166667;34.67966136;33.114612;24.05943963;63.48462208;Breeding;NA;F;Wikelski;3
Amblyrhynchus_cristatus;7.92;36.18696561;37.9;3.869614816;0.083333333;33.83029472;30.80854936;21.98192166;56.70297269;Breeding;NA;F;Wikelski;3
Amblyrhynchus_cristatus;0.68;112.3051947;37.9;3.869614816;0.083333333;33.81993153;30.90499422;22.23700258;56.59790331;Breeding;NA;F;Wikelski;3
Amblyrhynchus_cristatus;1.36;121.6639609;37.9;3.869614816;0.077314815;15.41920443;13.76963893;-0.649575754;47.69832663;Breeding;NA;F;Wikelski;3
Amblyrhynchus_cristatus;4.38;61.99292328;37.9;3.869614816;0.083333333;33.78564287;30.81398652;22.08077729;57.25486625;Breeding;NA;F;Wikelski;3
Amphibolurus_muricatus;NA;NA;36;1.82490559;0.083333333;32.91789904;29.45029011;22.35698953;54.45852561;Nonbreeding;Sit and Wait;F;Joss;5
Amphibolurus_muricatus;NA;NA;36;1.82490559;0.09375;32.9998961;29.54359212;21.27133035;55.84298771;Breeding;Sit and Wait;F;Joss;5
